MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
GENERIC_ALCOHOL THERMOMETER;AIRTEMP;SST;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL;SST_BUCKET_THERMOMETER
GENERIC_ANEROID DIGITAL BAROMETER;ATMPRESS;;ANEROID DIGITAL BAROMETER;BAROMETER_ANEROID_DIGITAL
GENERIC_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
GENERIC_BAROGRAPH;ATMPRESS;;BAROGRAPH;BAROGRAPH_GENERIC
GENERIC_BAROGRAPH_ELECTRONIC_TENDENCY;ATMPRESS;;BAROGRAPH_ELECTRONIC_TENDENCY;BAROGRAPH_ELECTRONIC_BAROMETER_TENDENCY
GENERIC_BAROGRAPH_OPEN_SCALE;ATMPRESS;;BAROGRAPH_OPEN_SCALE;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_1_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_1_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_2_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_2_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_3_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_3_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_4_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_4_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_5_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_5_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_6_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_6_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_7_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_7_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_8_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_8_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
GENERIC_BAROGRAPH_OPEN_SCALE_9_DAY_CLOCK;ATMPRESS;;BAROGRAPH_OPEN_SCALE_9_DAY_CLOCK;BAROGRAPH_OPEN_SCALE
